FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
392;BU92;20;1828;2020;automne;24,833056;-15,922222;24,83305600000;-15,92222200000;0,00000000000;0;0,00000000000;0;36,42700000000;20,55000000000;5,00200000000;7,99950000000
393;BV92;23;1848;2020;automne;24,787222;-15,824167;24,78722200000;-15,82416700000;0,00000000000;0;0,00000000000;0;36,43300000000;20,73000000000;5,00500000000;7,99930000000
394;BW92;19;1871;2020;automne;24,830278;-15,510833;24,83027800000;-15,51083300000;0,00000000000;0;0,00000000000;0;36,45200000000;20,46000000000;5,00900000000;7,96990000000
395;BX92;22;1888;2020;automne;24,763889;-15,343333;24,76388900000;-15,34333300000;0,00000000000;0;0,00000000000;0;36,42100000000;20,43000000000;4,79300000000;7,96940000000
396;BY92;22;1900;2020;automne;24,690556;-15,178889;24,69055600000;-15,17888900000;330,44000000000;1;0,14000000000;1;36,45000000000;20,28000000000;4,71800000000;7,96000000000
397;CZ92;6;1918;2020;automne;24,833333;-15,108889;24,83333300000;-15,10888900000;5193,16000000000;1;19,91000000000;1;36,34800000000;19,51000000000;4,70000000000;7,96980000000
398;CA92;25;1924;2020;automne;24,713056;-14,939444;24,71305600000;-14,93944400000;83523,68000000000;1;35,23000000000;1;36,32900000000;19,31000000000;4,71100000000;7,93940000000
399;BO93;2;1949;2020;automne;24,536667;-16,86667;24,53666700000;-16,86667000000;0,00000000000;0;0,00000000000;0;36,44800000000;20,64000000000;5,00000000000;7,99980000000
400;BP93;2;1950;2020;automne;24,526944;-16,71667;24,52694400000;-16,71667000000;0,00000000000;0;0,00000000000;0;36,44700000000;20,67000000000;5,09800000000;7,99980000000
401;BQ93;5;1951;2020;automne;24,518611;-16,55833;24,51861100000;-16,55833000000;0,00000000000;0;0,00000000000;0;36,44500000000;20,66000000000;5,09600000000;7,99970000000
